id_estacao,data_medicao,coleta,ponto,data_inicio,data_fim,ph,temperatura_do_ar,temperatura_da_agua,salinidade,oxigenio_dissolvido,turbidez,disco_de_secchi,profundidade_total,profundidade_de_coleta,coliformes_totais,escherichia_coli,nitrogenio_amoniacal,fosforo_total_mg_l,fosforo_total_mg_kg,fosfato_total,nitrato,silica,sulfeto,materia_organica
1,2023-09-13 12:13:00,Regular,LRF3 - Meio Afótico,2023-09-13 12:10:00,2023-09-13 12:13:00,9.07,,25.5,10.5,10.9,4.12,,,2.0,,,0.141,0.05,,0.019,<0.05,1.658,0.1,
1,2024-10-30 12:14:00,Regular,LRF3 - Meio Afótico,2024-10-30  12:12,2024-10-30 12:14:00,8.08,,25.5,10.6,6.39,3.55,,,2.0,,,0.33,0.108,,0.051,0.3,3,0.2,
1,2022-11-07 15:19:00,Regular,LRF2 - Meio Afótico,2022-11-07 15:17:00,2022-11-07 15:19:00,8.66,,25.5,13,10.92,3.49,,,2.0,,,0.075,0.091,,0.017,<0.05 ,4.1,<0.1 ,
1,2023-09-29 09:59:00,Regular,LRF3 - Meio Afótico,2023-09-29 09:56:00,2023-09-29 09:59:00,8.5,,25.5,9.6,6.27,3.8,,,2.0,,,0.1,0.13,,0.059,0.12,4.1,<0.1 ,
1,2023-10-30 12:14:00,Regular,LRF3 - Meio Afótico,2023-10-30  12:12,2023-10-30 12:14:00,8.08,,25.5,10.6,6.39,3.55,,,2.0,,,0.33,0.108,,0.051,0.3,3,0.2,
1,2023-11-06 14:28:00,Regular,LRF5 - Fundo,2023-11-06 14:25:00,2023-11-06 14:28:00,8.66,,25.5,11.1,6.75,2.27,,,2.5,,,0.23,0.061,,0.017,<0.05,3.5,<0.1,
1,2022-04-18 12:59:00,Regular,LRF5 - Fundo,2022-04-18 12:56:00,2022-04-18 12:59:00,8.45,,25.5,9.6,8.21,7.39,,,2.5,,,0.02,0.158,,0.089,0.15,4,<0.1,
1,2023-10-16   12:46,Regular,LRF4 - Meio,2023-10-16  12:43,2023-10-16   12:46,7.68,,25.5,10.1,4.5,<1.5 ,,,2.5,,,0.016,0.082,,0.022,<0.05 ,4.3,<0.1 ,
1,2024-10-16   12:46,Regular,LRF4 - Meio,2024-10-16  12:43,2024-10-16   12:46,7.68,,25.5,10.1,4.5,<1.5 ,,,2.5,,,0.016,0.082,,0.022,<0.05 ,4.3,<0.1 ,
1,2024-11-06 14:28:00,Regular,LRF5 - Fundo,2024-11-06 14:25:00,2024-11-06 14:28:00,8.66,,25.5,11.1,6.75,2.27,,,2.5,,,0.23,0.061,,0.017,<0.05,3.5,<0.1,
1,2024-10-09 13:50:00,Regular,LRF6 - Fundo,2024-10-09 13:47:00,2024-10-09 13:50:00,8.17,,25.5,9.6,5.01,2.02,,,3.0,,,<0.016 ,0.097,,0.048,0.1,3.9,<0.1 ,
1,2023-09-29 11:34:00,Regular,LRF6 - Fundo,2023-09-29 11:31:00,2023-09-29 11:34:00,8.64,,25.5,9.8,7.9,6.74,,,3.0,,,0.12,0.193,,0.063,0.03,6,0.2,
1,2024-09-29 11:34:00,Regular,LRF6 - Fundo,2024-09-29 11:31:00,2024-09-29 11:34:00,8.64,,25.5,9.8,7.9,6.74,,,3.0,,,0.12,0.193,,0.063,0.03,6,0.2,
1,2023-10-09 13:50:00,Regular,LRF6 - Fundo,2023-10-09 13:47:00,2023-10-09 13:50:00,8.17,,25.5,9.6,5.01,2.02,,,3.0,,,<0.016 ,0.097,,0.048,0.1,3.9,<0.1 ,
1,2024-09-04 12:43:00,Regular,LRF3 - Meio Eufótico,2024-09-04 12:40:00,2024-09-04 12:43:00,8.81,,25.5,9.1,11.08,3.07,,,1.0,,,0.17,0.032,,0.014,0.22,6.137,<0.1,
